No,Title,VideoUrl,TimeStamp,Sentence,RowNumber,IsUsefulSentence,Key steps,Verb,Object(directly related with Verb),Location,Time,Temperature,Other important phrase(like with,Video Pred,Clip IDs
11,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,00:58.5,so we 've placed the dough directly into the caputo flour that we import from italy.,10,1,place dough in caputo flour,place,dough,caputo flour,,,,"put tap, squeeze water","FHvZgt3ExDI_0012, FHvZgt3ExDI_0013"
12,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,01:03.5,it 's the same flower that we make the dough with.,11,0,,,,,,,,"squeeze water, squeeze bowl","FHvZgt3ExDI_0013, FHvZgt3ExDI_0014"
13,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,01:05.9,"and then we give it a flip as i 've read in some, some manuals for italian pizza that are neapolitan style.",12,1,flip dough,flip,dough,,,,,"squeeze bowl, squeeze bowl, squeeze tap","FHvZgt3ExDI_0014, FHvZgt3ExDI_0015, FHvZgt3ExDI_0016"
14,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,01:16.0,they say this is something you have to do.,13,0,,,,,,,,squeeze tap,FHvZgt3ExDI_0016
15,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,01:18.2,in order for it to be traditional you have to actually dip it in the flower.,14,0,,,,,,,,"squeeze tap, take knife","FHvZgt3ExDI_0016, FHvZgt3ExDI_0017"
16,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,01:21.6,although i 'm not quite sure.,15,0,,,,,,,,take knife,FHvZgt3ExDI_0017
17,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,01:23.6,"but that 's what we do anyway, we sprinkle the surface and then real quick.",16,1,sprinkle the surface,sprinkle,surface,,,,,"take knife, take tortilla","FHvZgt3ExDI_0017, FHvZgt3ExDI_0018"
18,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,01:29.5,we just give a squish with our palm and make it flat in the center.,17,1,squish dough with palm; flatten center,squish; flatten,dough;center of dough,,,,with palm; ,"take tortilla, take flour","FHvZgt3ExDI_0018, FHvZgt3ExDI_0019"
19,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,01:34.6,not really disturbing the outside edge and then with our fingertips.,18,0,,,,,,,,"take flour, put tortilla","FHvZgt3ExDI_0019, FHvZgt3ExDI_0020"
20,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,01:38.0,"we dimple the rest of the pizza, moving the pizza around definitely handmade, definitely handmade, not trying your best not to disturb the edge 'cause that 's where you 're going to get a lot of natural bubbles from the fermentation.",19,1,dimple the rest of pizza; move the pizza around,dimple; move,pizza;pizza,,,,,"put tortilla, wash tortilla, wash tortilla, dry hand","FHvZgt3ExDI_0020, FHvZgt3ExDI_0021, FHvZgt3ExDI_0022, FHvZgt3ExDI_0023"
21,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,01:54.5,"once you 've dimpled, you 're going to do a quick stretch, while you 're rotating.",20,1,stretch dough;rotate dough,stretch;rotate ,dough;dough,,,,,"dry hand, wash plate, wash tap","FHvZgt3ExDI_0023, FHvZgt3ExDI_0024, FHvZgt3ExDI_0025"
22,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,02:01.7,"you 're stretching the just the edge of the dough out and you 're trying your best not to disturb the center, the center generally stretches out on its own.",21,0,,,,,,,,"wash tap, wash tap, dry hand","FHvZgt3ExDI_0025, FHvZgt3ExDI_0026, FHvZgt3ExDI_0027"
23,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,02:12.9,you wo n't have to worry too much about it.,22,0,,,,,,,,dry hand,FHvZgt3ExDI_0027
24,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,02:14.3,"you really just stretching the edge, and you can see with not to much fanfare.",23,0,,,,,,,,"dry hand, wash tortilla","FHvZgt3ExDI_0027, FHvZgt3ExDI_0028"
25,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,02:18.7,we 've established a good diameter without too much.,24,0,,,,,,,,"wash tortilla, put table","FHvZgt3ExDI_0028, FHvZgt3ExDI_0029"
26,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,02:23.1,"pull back, you actually see almost not.",25,0,,,,,,,,"put table, take chopstick","FHvZgt3ExDI_0029, FHvZgt3ExDI_0030"
27,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,02:25.8,"and then we 're going to put it, pick it up and put it on the backs of our hands and just let it kind of hang down on the backs of our knuckles.",26,1,pick up dough and let it hang on backs of knuckles,pick up;hang on,dough;dough, ;backs of knuckles,,,,"take chopstick, shake tortilla, wash flour","FHvZgt3ExDI_0030, FHvZgt3ExDI_0031, FHvZgt3ExDI_0032"
28,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,02:37.1,and then the diameter is even greater and we 've really not work too hard to get it that way and water in the dough in the dough is strictly.,27,0,,,,,,,,"wash flour, put flour, put plate, put plate","FHvZgt3ExDI_0032, FHvZgt3ExDI_0033, FHvZgt3ExDI_0034, FHvZgt3ExDI_0035"
29,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,02:50.9,it 's the red bag.,28,0,,,,,,,,put plate,FHvZgt3ExDI_0035
30,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,02:52.1,"if you want to look for it on amazon, and it has a particular content of ash and gluten protein that we prefer, and it is a double zero ground flour and salt water and instant yeast.",29,0,,,,,,,,"put plate, put plate, put flour, put plate, wash plate","FHvZgt3ExDI_0035, FHvZgt3ExDI_0036, FHvZgt3ExDI_0037, FHvZgt3ExDI_0038, FHvZgt3ExDI_0039"
31,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,03:10.3,"not active, dry, but instant and will give you the recipe for that later so after you stretch it.",30,0,,,,,,,,"wash plate, wash tortilla","FHvZgt3ExDI_0039, FHvZgt3ExDI_0040"
32,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,03:16.0,"this is basically the size, you do n't have to throw it or anything.",31,0,,,,,,,,wash tortilla,FHvZgt3ExDI_0040
33,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,03:19.1,just put it right onto our pizza peel that we 're going to use to get into our oven and then we 're going to put some sauce on it.,32,1,"put it onto pizza peel, put sauce on it",put ,sauce,pizza peel,,,,"wash tortilla, take plate, take plate","FHvZgt3ExDI_0040, FHvZgt3ExDI_0041, FHvZgt3ExDI_0042"
34,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,03:28.6,this is our antonina tomatoes and the only thing that we do to this canned tomato is put a little bit of salt in it and elevate the salt level.,33,0,,,,,,,,"look grape, take plate","FHvZgt3ExDI_0001, FHvZgt3ExDI_0042"
35,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,0:03:38,and that 's it.,34,0,,,,,,,,"look grape, close grape, take pizza, close cupboard, put onion, put bowl, take pizza, put bowl, put bowl, put bowl, put bowl, put tap, squeeze water, squeeze bowl, squeeze bowl, squeeze tap, take knife, take tortilla, take flour, put tortilla, wash tortilla, wash tortilla, dry hand, wash plate, wash tap, wash tap, dry hand, wash tortilla, put table, take chopstick, shake tortilla, wash flour, put flour, put plate, put plate, put plate, put flour, put plate, wash plate, wash tortilla, take plate, take plate, put plate, put plate","FHvZgt3ExDI_0001, FHvZgt3ExDI_0002, FHvZgt3ExDI_0003, FHvZgt3ExDI_0004, FHvZgt3ExDI_0005, FHvZgt3ExDI_0006, FHvZgt3ExDI_0007, FHvZgt3ExDI_0008, FHvZgt3ExDI_0009, FHvZgt3ExDI_0010, FHvZgt3ExDI_0011, FHvZgt3ExDI_0012, FHvZgt3ExDI_0013, FHvZgt3ExDI_0014, FHvZgt3ExDI_0015, FHvZgt3ExDI_0016, FHvZgt3ExDI_0017, FHvZgt3ExDI_0018, FHvZgt3ExDI_0019, FHvZgt3ExDI_0020, FHvZgt3ExDI_0021, FHvZgt3ExDI_0022, FHvZgt3ExDI_0023, FHvZgt3ExDI_0024, FHvZgt3ExDI_0025, FHvZgt3ExDI_0026, FHvZgt3ExDI_0027, FHvZgt3ExDI_0028, FHvZgt3ExDI_0029, FHvZgt3ExDI_0030, FHvZgt3ExDI_0031, FHvZgt3ExDI_0032, FHvZgt3ExDI_0033, FHvZgt3ExDI_0034, FHvZgt3ExDI_0035, FHvZgt3ExDI_0036, FHvZgt3ExDI_0037, FHvZgt3ExDI_0038, FHvZgt3ExDI_0039, FHvZgt3ExDI_0040, FHvZgt3ExDI_0041, FHvZgt3ExDI_0042, FHvZgt3ExDI_0043, FHvZgt3ExDI_0044"
36,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,03:38.6,we puree it with salt and that is it 's about two.,35,0,,,,,,,,"put plate, put bowl","FHvZgt3ExDI_0044, FHvZgt3ExDI_0045"
37,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,03:43.2,"do you want a quarter to two and a half ounces of sauce, and i 'm going to put the cheese on.",36,1,put cheese on ,put on,cheese,,,,,"put bowl, wash plate","FHvZgt3ExDI_0045, FHvZgt3ExDI_0046"
38,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,03:48.8,"next and probably you guys will wonder why there 's not that much cheese on there and if you 've ever been, italy, you 'll know that they just do n't put a lot of cheese on their neapolitan style pizzas got this recipe from restaurants that i worked in i 'm not sure if you 've been to downtown disney.",37,0,,,,,,,,"wash plate, check bowl, wash bowl, check bowl, check flour","FHvZgt3ExDI_0046, FHvZgt3ExDI_0047, FHvZgt3ExDI_0048, FHvZgt3ExDI_0049, FHvZgt3ExDI_0050"
39,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,04:08.2,"but there 's, there 's a?",38,0,,,,,,,,"check flour, dry hand","FHvZgt3ExDI_0050, FHvZgt3ExDI_0051"
40,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,04:11.8,"yeah , there 's a place called naples.",39,0,,,,,,,,dry hand,FHvZgt3ExDI_0051
41,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,04:14.6,"and they crank out about five hundred to six hundred pieces of day, and i used to run that place.",40,0,,,,,,,,"dry hand, check hand","FHvZgt3ExDI_0051, FHvZgt3ExDI_0052"
42,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,04:19.2,"so it 's just a haphazard, scattering that 's it.",41,0,,,,,,,,"check hand, check microwave","FHvZgt3ExDI_0052, FHvZgt3ExDI_0053"
43,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,04:23.1,"that 's the only amount of cheese we 're going to put on there, and that she 's going to melt down real fast in the oven, and kind of spread out just a little bit.",42,0,,,,,,,,"check microwave, check microwave","FHvZgt3ExDI_0053, FHvZgt3ExDI_0054"
44,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,04:29.4,but not much it 's not an american style pizza where the whole thing is covered with cheese you taste more of the acid of the tomato and the extra virgin.,43,0,,,,,,,,"check microwave, check microwave, check microwave","FHvZgt3ExDI_0054, FHvZgt3ExDI_0055, FHvZgt3ExDI_0056"
45,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,04:38.9,"olive oil actors come out of the oven, and we put on here.",44,1,put on fresh basil,put on,fresh basil,,,,,"check microwave, check tomato","FHvZgt3ExDI_0056, FHvZgt3ExDI_0057"
46,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,04:41.9,is a little bit of basil fresh?,45,0,,,,,,,,"check tomato, check hand","FHvZgt3ExDI_0057, FHvZgt3ExDI_0058"
47,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,04:47.3,but can i bring him up.,46,0,,,,,,,,"check hand, wash hand","FHvZgt3ExDI_0058, FHvZgt3ExDI_0059"
48,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,04:50.2,"you can leave in the whole, it does n't really matter the surprisingly.",47,0,,,,,,,,wash hand,FHvZgt3ExDI_0059
49,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,04:54.1,they just get a little bit charred.,48,0,,,,,,,,"wash hand, move microwave","FHvZgt3ExDI_0059, FHvZgt3ExDI_0060"
50,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,04:56.9,but not much as sometimes they even retain all their green color after they come out of the oven.,49,0,,,,,,,,"move microwave, move microwave","FHvZgt3ExDI_0060, FHvZgt3ExDI_0061"
51,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,05:01.6,so that 's all we do to the pizza and then we go into the oven just going to place it directly on the stone and give it a shake.,50,1,"place pizza in oven, give it a shake",place;shake,pizza;pizza,oven; ,,,,"move microwave, put tortilla, put can","FHvZgt3ExDI_0061, FHvZgt3ExDI_0062, FHvZgt3ExDI_0063"
52,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,05:12.8,an off it goes.,51,0,,,,,,,,"put can, put can","FHvZgt3ExDI_0063, FHvZgt3ExDI_0064"
53,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,05:15.2,"how was your last day there, generally it is going to stay in there about two minutes?",52,0,,,,,,,,"put can, put bottle","FHvZgt3ExDI_0064, FHvZgt3ExDI_0065"
54,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,05:20.3,"and the higher, the temperature, the oven the faster.",53,0,,,,,,,,put bottle,FHvZgt3ExDI_0065
55,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,05:22.8,it will bake obviously and you 'll start to see immediately.,54,0,,,,,,,,"put bottle, put pizza","FHvZgt3ExDI_0065, FHvZgt3ExDI_0066"
56,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,05:25.5,the crust will start to give rise and the cheese will start to kind of sweat a little bit.,55,0,,,,,,,,"put pizza, take pizza","FHvZgt3ExDI_0066, FHvZgt3ExDI_0067"
57,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,05:32.3,"the sauce will start to boil, and you 'll get some characteristic charring on the backside of the pizza that 's closest to the fire and.",56,0,,,,,,,,"take pizza, take pizza, take pizza","FHvZgt3ExDI_0067, FHvZgt3ExDI_0068, FHvZgt3ExDI_0069"
58,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,05:40.4,"so will have to rotate it every thirty to forty five seconds, your home oven will take you about ten minutes.",57,1,rotate pizza every 30-45 seconds,rotate,pizza,,30-45 seconds,,,"take pizza, take pizza","FHvZgt3ExDI_0069, FHvZgt3ExDI_0070"
59,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,05:48.3,at the very bottom that 's where you want to have your pizza stone so it 's directly in contact with your heating element of your stove.,58,0,,,,,,,,"take pizza, take pizza, put can","FHvZgt3ExDI_0070, FHvZgt3ExDI_0071, FHvZgt3ExDI_0072"
60,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,05:57.0,would you have back there?,59,0,,,,,,,,put can,FHvZgt3ExDI_0072
61,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,05:58.0,"it 's not for smoking, flavor or anything like that.",60,0,,,,,,,,"put can, put can","FHvZgt3ExDI_0072, FHvZgt3ExDI_0073"
62,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,06:00.9,"it 's just neutral, very neutral and clean burning wood, so this is white oak.",61,0,,,,,,,,"put can, take can","FHvZgt3ExDI_0073, FHvZgt3ExDI_0074"
63,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,06:08.7,bubbling up nice beautiful there.,62,0,,,,,,,,"take can, take pizza, take milk","FHvZgt3ExDI_0074, FHvZgt3ExDI_0075, FHvZgt3ExDI_0076"
64,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,06:15.8,the cheese you can see.,63,0,,,,,,,,take milk,FHvZgt3ExDI_0076
65,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,06:16.7,"it 's a little bit more resistant, then the dell and you 're looking to put a little just starting to karma, lies the top of the cheese getting a little bit brown.",64,0,,,,,,,,"take milk, take milk, take tortilla","FHvZgt3ExDI_0076, FHvZgt3ExDI_0077, FHvZgt3ExDI_0078"
66,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,06:28.5,that 's when i like it to be done.,65,0,,,,,,,,"take tortilla, take bag, take water","FHvZgt3ExDI_0078, FHvZgt3ExDI_0079, FHvZgt3ExDI_0080"
67,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,06:36.8,"and , that is a good pizza.",66,0,,,,,,,,take water,FHvZgt3ExDI_0080
68,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,06:38.8,we 're going to put a little bit of extra virgin olive oil directly on.,67,1,put extra vigrin olive oil on,put on,extra virgin olive oil,,,,,"take water, take sauce, put salad","FHvZgt3ExDI_0080, FHvZgt3ExDI_0081, FHvZgt3ExDI_0082"
69,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,06:46.9,"yeah , over the whole pizza and then in america we cut it, but i 'm told in, uh, in italy you cut it yourself.",68,1,cut the pizza,cut,pizza,,,,,"put salad, put salt, put tortilla","FHvZgt3ExDI_0082, FHvZgt3ExDI_0083, FHvZgt3ExDI_0084"
70,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,06:57.7,and here is how we serve a traditional neapolitan pizza from report restaurant in rancho cucamonga.,69,0,,,,,,,,"put tortilla, put pizza, check tissue, check package","FHvZgt3ExDI_0084, FHvZgt3ExDI_0085, FHvZgt3ExDI_0086, FHvZgt3ExDI_0087"
71,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,07:11.7,all that sauce is amazing.,70,0,,,,,,,,check package,FHvZgt3ExDI_0087
72,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,07:13.7,it 's all about the sauce.,71,0,,,,,,,,"check package, check bag","FHvZgt3ExDI_0087, FHvZgt3ExDI_0088"
73,pizza marghetta,https://www.youtube.com/watch?v=FHvZgt3ExDI,07:15.3,"yeah , fresh mozzarella, mozzarella little bit of basil, simple but elegant, gotta, come try this.",72,0,,,,,,,,"check bag, take bag, take holder:filter, cut tomato, cut tomato, cut tomato","FHvZgt3ExDI_0088, FHvZgt3ExDI_0089, FHvZgt3ExDI_0090, FHvZgt3ExDI_0091, FHvZgt3ExDI_0092, FHvZgt3ExDI_0093"
74,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,00:07.7,"welcome to collinwood, elam, i'ma grassy.",0,0,,,,,,,,put tomato,vmTP3k22f0I_0002
75,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,00:09.9,and we 're going to make together pizza margarita today.,1,0,,,,,,,,"put tomato, turn-on glass","vmTP3k22f0I_0002, vmTP3k22f0I_0003"
76,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,00:13.6,this pizza was invented in eighteen hundred.,2,0,,,,,,,,"turn-on glass, turn-on water","vmTP3k22f0I_0003, vmTP3k22f0I_0004"
77,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,00:15.9,"eighty nine in naples by rafael as positive pizza maker in owner of queen regina, margherita during visit to naples, this pizza is the color of the italian flag green, white, and red to prepare six pizzas margarita we need two pounds flour, one hour.",3,0,,,,,,,,"turn-on water, turn-on water, open water, put glass, take container","vmTP3k22f0I_0004, vmTP3k22f0I_0005, vmTP3k22f0I_0006, vmTP3k22f0I_0007, vmTP3k22f0I_0008"
78,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,00:35.4,"so fresh yeast two cups fresh water and one teaspoon of salt and to garnish our pizzas, we need the six tablespoons extra virgin olive oil one pound of fresh mozzarella cheese few basil, live one pound or can tomato or tomato pulp and a pinch of salt.",4,0,,,,,,,,"take container, put container, take container, put container","vmTP3k22f0I_0008, vmTP3k22f0I_0009, vmTP3k22f0I_0010, vmTP3k22f0I_0011"
79,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,00:53.3,"first of all way to need our peace, and also we need the flower place of our bench we had the east salt and water and we need is important, not to mix directly salt and is we have water people to water.",5,0,,,,,,,,"put container, close box, close cupboard, close fridge","vmTP3k22f0I_0011, vmTP3k22f0I_0012, vmTP3k22f0I_0013, vmTP3k22f0I_0014"
80,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,01:09.6,"cause , we do n't know exactly how much water.",6,0,,,,,,,,"close fridge, close cupboard","vmTP3k22f0I_0014, vmTP3k22f0I_0015"
81,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,01:12.3,the flowers gone hours hope.,7,0,,,,,,,,close cupboard,vmTP3k22f0I_0015
82,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,01:14.2,"and we start to knead, so we need about though for this fifteen twenty minutes until we have a very nice texture.",8,1,knead dough for 15-20 minutes,knead,dough,,15-20 minutes,,,"close cupboard, close cupboard, take milk","vmTP3k22f0I_0015, vmTP3k22f0I_0016, vmTP3k22f0I_0017"
83,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,01:23.2,and where is moved dope connected using a kitchenette.,9,0,,,,,,,,"take milk, close glass","vmTP3k22f0I_0017, vmTP3k22f0I_0018"
84,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,01:27.9,"of course when you finish to need the door is not sticky anymore, as a nice texture.",10,0,,,,,,,,"close glass, put bottle, close napkin","vmTP3k22f0I_0018, vmTP3k22f0I_0019, vmTP3k22f0I_0020"
85,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,01:39.1,"if it 's too thick, you can add a little water.",11,0,,,,,,,,"close napkin, close glass","vmTP3k22f0I_0020, vmTP3k22f0I_0021"
86,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,01:41.6,"if it 's two softap just add some flour, you place on a bench.",12,0,,,,,,,,"close glass, close cupboard","vmTP3k22f0I_0021, vmTP3k22f0I_0022"
87,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,01:45.4,"you make a nice bowl with cover, the door to avoid crusting an you let it rise at room temperature for three four hour.",13,1,make bowl with cover,make,bowl,,,,with cover,"close cupboard, dry plate, dry plate","vmTP3k22f0I_0022, vmTP3k22f0I_0023, vmTP3k22f0I_0024"
88,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,01:55.2,or you can place in a warm place for one hour.,14,0,,,,,,,,dry plate,vmTP3k22f0I_0024
89,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,01:58.7,"one sourdough, as almost double is volume we make six small balls.",15,1,make six small balls,make,six small balls,,,,,"dry plate, open glass, turn-on water","vmTP3k22f0I_0024, vmTP3k22f0I_0025, vmTP3k22f0I_0026"
90,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,02:05.8,each peaceable should be around nine ounces.,16,0,,,,,,,,turn-on water,vmTP3k22f0I_0026
91,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,02:09.4,so we make nice round shape now.,17,1,make a round shape,make,round shape,,,,,"turn-on water, take container","vmTP3k22f0I_0026, vmTP3k22f0I_0027"
92,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,02:12.1,"we cover again with film to avoid the door crafting an we elect, leave at room times or for a couple of hour or if you like you can place in a warm place for forty five minutes around pizza dough is ready.",18,1,cover with film,cover,film,,,,,"take container, put spoon, put spoon, open cupboard","vmTP3k22f0I_0027, vmTP3k22f0I_0028, vmTP3k22f0I_0029, vmTP3k22f0I_0030"
93,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,02:25.5,now we can seize and a tomato.,19,0,,,,,,,,open cupboard,vmTP3k22f0I_0030
94,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,02:28.4,so pinch of salt little olive oil we start giving a shape to our pizza we flower one piece of gold.,20,0,,,,,,,,"open cupboard, wash water, take water, turn-on top","vmTP3k22f0I_0030, vmTP3k22f0I_0031, vmTP3k22f0I_0032, vmTP3k22f0I_0033"
95,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,02:40.1,and we start making flat with our hands.,21,1,make the dough flat with hands,make flat,dough,,,,with hands,"turn-on top, take top","vmTP3k22f0I_0033, vmTP3k22f0I_0034"
96,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,02:45.5,we try to obtain a regular round shape of around fourteen inches.,22,0,,,,,,,,"take top, take towel:kitchen","vmTP3k22f0I_0034, vmTP3k22f0I_0035"
97,pizza marghetta,https://www.youtube.com/watch?v=vmTP3k22f0I,02:54.2,now we had a tomato and we spread all over our pizza dough.,23,1,spread tomato over pizza dough,spread,tomato,pizza dough,,,,"take towel:kitchen, turn-on water, turn-on water","vmTP3k22f0I_0035, vmTP3k22f0I_0036, vmTP3k22f0I_0037"
